machine_name,name,project_url,created,changed,author,install_count_7x,security_coverage,maintenance_status,development_status,has_screenshots
basic,Basic,https://www.drupal.org/project/basic,2008-06-09,2025-07-17,SteveK,591,covered,Actively maintained,Under active development,true
ad_the_morning_after,AD The Morning After,https://www.drupal.org/project/ad_the_morning_after,2008-06-09,2014-12-02,Alan Cooney,,not-covered,,,true
multiflex3,Multiflex-3,https://www.drupal.org/project/multiflex3,2008-06-05,2014-12-02,hswong3i,34,covered,Actively maintained,Under active development,true
ad_novus,AD Novus,https://www.drupal.org/project/ad_novus,2008-06-03,2014-12-02,Alan Cooney,12,not-covered,,,true
ad_blueprint,AD Blueprint,https://www.drupal.org/project/ad_blueprint,2008-06-03,2014-12-02,Alan Cooney,1,not-covered,,,true
forest_floor,Forest Floor,https://www.drupal.org/project/forest_floor,2008-04-29,2014-12-02,Alan Cooney,11,not-covered,,,true
tarski,Tarski,https://www.drupal.org/project/tarski,2008-04-25,2014-12-02,jarek foksa,45,covered,Seeking new maintainer,No further development,false
hexagon,Hexagon,https://www.drupal.org/project/hexagon,2008-04-22,2014-12-01,dvessel,2,not-covered,Actively maintained,Under active development,true
interactive_media,Interactive Media,https://www.drupal.org/project/interactive_media,2008-04-22,2014-12-02,hswong3i,27,covered,Actively maintained,Under active development,true
beginning,Beginning,https://www.drupal.org/project/beginning,2008-04-19,2018-08-22,itapplication,40,covered,Actively maintained,Under active development,true
alina,Alina,https://www.drupal.org/project/alina,2008-04-15,2014-12-02,dm66,,covered,Minimally maintained,Maintenance fixes only,true
andreas02,Andreas02,https://www.drupal.org/project/andreas02,2008-02-29,2020-11-19,nickbits,3,covered,Unsupported,Obsolete,true
tapestry,Tapestry,https://www.drupal.org/project/tapestry,2008-02-22,2025-01-12,kisugiai,28,covered,Seeking co-maintainer(s),Maintenance fixes only,true
framework,Framework,https://www.drupal.org/project/framework,2008-02-20,2014-12-02,andregriffin,1011,covered,Minimally maintained,No further development,true
acta,Acta,https://www.drupal.org/project/acta,2008-02-12,2016-06-27,derekwebb1,1,covered,Minimally maintained,Maintenance fixes only,true
fourseasons,Four Seasons,https://www.drupal.org/project/fourseasons,2008-02-02,2015-02-11,derjochenmeyer,40,not-covered,Unsupported,No further development,false
rootcandy,RootCandy,https://www.drupal.org/project/rootcandy,2008-01-15,2014-12-02,sign,127,not-covered,Actively maintained,Under active development,true
eve_igb,EvE IGB,https://www.drupal.org/project/eve_igb,2007-11-05,2014-12-01,bdragon,1,not-covered,Actively maintained,Under active development,false
ad_agency,Ad Agency,https://www.drupal.org/project/ad_agency,2007-10-31,2019-05-01,stella,2,covered,Unsupported,No further development,true
marinelli,Marinelli,https://www.drupal.org/project/marinelli,2007-10-23,2017-12-19,oadaeh,1649,covered,Actively maintained,Under active development,true
blueprint,Blueprint,https://www.drupal.org/project/blueprint,2007-10-04,2014-12-02,designerbrent,13,not-covered,Seeking co-maintainer(s),Under active development,true
sky,Sky,https://www.drupal.org/project/sky,2007-09-29,2014-12-02,Jeff Burnz,765,covered,Actively maintained,Under active development,true
newsflash,NewsFlash,https://www.drupal.org/project/newsflash,2007-08-23,2025-04-28,kisugiai,122,covered,Minimally maintained,Maintenance fixes only,true
deco,Deco,https://www.drupal.org/project/deco,2007-08-12,2022-01-25,klaasvw,31,not-covered,Minimally maintained,Under active development,true
spring_bloom,Spring Bloom,https://www.drupal.org/project/spring_bloom,2007-08-03,2018-10-12,progga,1,covered,Actively maintained,Under active development,true
litejazz,litejazz,https://www.drupal.org/project/litejazz,2007-07-19,2025-01-12,kisugiai,36,covered,Minimally maintained,Maintenance fixes only,true
mobi,.mobi,https://www.drupal.org/project/mobi,2007-04-16,2014-12-02,deekayen,2,not-covered,Unsupported,No further development,true
blue_zinfandel,Blue Zinfandel,https://www.drupal.org/project/blue_zinfandel,2007-03-18,2019-10-16,ipwa,1,not-covered,Unsupported,Obsolete,true
aurora,Aurora,https://www.drupal.org/project/aurora,2007-03-16,2015-07-17,iamcarrico,1228,covered,Actively maintained,Under active development,true
green,Green,https://www.drupal.org/project/green,2007-03-12,2015-02-01,itapplication,27,covered,Actively maintained,Under active development,true
glossyblue,GlossyBlue,https://www.drupal.org/project/glossyblue,2007-01-24,2014-12-02,itapplication,5,covered,Minimally maintained,No further development,true
aberdeen,Aberdeen,https://www.drupal.org/project/aberdeen,2007-01-22,2014-12-02,ishmael-sanchez,19,covered,Seeking new maintainer,Under active development,true
bluelake,Blue Lake,https://www.drupal.org/project/bluelake,2006-10-21,2014-11-27,owahab,1,not-covered,,,true
bluebreeze,BlueBreeze,https://www.drupal.org/project/bluebreeze,2006-10-18,2014-12-02,itapplication,14,covered,Actively maintained,Under active development,true
zen,Zen,https://www.drupal.org/project/zen,2006-10-11,2022-04-15,johnalbin,17118,covered,Minimally maintained,Maintenance fixes only,true
mobile,Mobile,https://www.drupal.org/project/mobile,2006-10-07,2014-12-02,sillygwailo,240,covered,Actively maintained,Under active development,true
internet_services,Internet Services,https://www.drupal.org/project/internet_services,2006-06-22,2014-12-02,hswong3i,8,covered,Actively maintained,Under active development,true
ocadia,Ocadia,https://www.drupal.org/project/ocadia,2006-06-20,2019-04-30,Scar_T,6,covered,Unsupported,No further development,true
contented7,Contented7,https://www.drupal.org/project/contented7,2006-06-09,2014-12-02,hswong3i,8,covered,Actively maintained,Under active development,true
noprob,NoProb,https://www.drupal.org/project/noprob,2006-02-24,2014-12-02,Eric3,1,not-covered,,,true
bluemarine,Bluemarine,https://www.drupal.org/project/bluemarine,2003-09-28,2022-01-10,oadaeh,101,covered,Actively maintained,Maintenance fixes only,true
